,connLabel,predLabel,confi,sample,pre_conn_conv1_fm0_mean,pre_conn_conv1_fm1_mean,pre_conn_conv1_fm2_mean,pre_conn_conv1_fm3_mean,pre_conn_conv2_fm0_mean,pre_conn_conv2_fm1_mean,post_conn_conv1_fm0_mean,post_conn_conv1_fm1_mean,post_conn_conv1_fm2_mean,post_conn_conv1_fm3_mean,post_conn_conv2_fm0_mean,post_conn_conv2_fm1_mean,postBN_conn_conv1_fm0_mean,postBN_conn_conv1_fm1_mean,postBN_conn_conv1_fm2_mean,postBN_conn_conv1_fm3_mean,postBN_conn_conv2_fm0_mean,postBN_conn_conv2_fm1_mean,peak_height,peak_lag,peak_halfMax_width,peak_to_noise,temporal_span,entropy,norm_entropy,norm_entropy_window,kl_divergence_window,Weight,test
10,1.0,0.0,0.0488724485039711,BP8_Pre_E0_Post,-548.1582641601562,1.9787695407867432,382.2358093261719,-135.1121826171875,1.9266624450683594,2.537865161895752,-1.0,0.6363118290901184,1.0,-0.760412335395813,0.9989655613899231,0.9996080994606018,-14.049907684326172,2.1790831089019775,20.539737701416016,-1.7541882991790771,3.8350670337677,4.352177143096924,492.0,1,20,15.574178,14,6.6458435,0.998142447574028,0.992743277035961,0.03187370860536843,0.9894736842105264,BP
11,1.0,0.0,0.08312296122312546,BP8_Pre_E1_Post,-588.7188110351562,-9.760258674621582,414.0089416503906,-153.6788787841797,0.5377928614616394,0.7689409852027893,-1.0,0.43541547656059265,1.0,-0.4969434142112732,0.7768785953521729,0.8436450362205505,-15.24528694152832,1.609023094177246,22.215940475463867,-2.46646785736084,1.1507145166397095,1.2830195426940918,920.0,1,6,39.942226,14,6.6020555,0.9915659132672963,0.970664120394126,0.12885216449774572,2.0,BP
12,1.0,0.0,0.05967182666063309,BP8_Pre_E2_Post,-600.2306518554688,-10.999208450317383,421.12591552734375,-156.64556884765625,0.8338718414306641,1.1468243598937988,-1.0,0.4675297737121582,1.0,-0.5620107650756836,0.9054554104804993,0.9527519345283508,-15.58455753326416,1.5488581657409668,22.59139633178711,-2.580280065536499,1.7229642868041992,1.9386628866195679,857.0,1,6,35.67911,15,6.607055,0.9923168112549483,0.9751429391827695,0.1091804126800089,1.936842105263158,BP
13,1.0,0.0,0.048908837139606476,BP8_Pre_E3_Post,-563.8313598632812,-3.0213279724121094,394.4156799316406,-143.01568603515625,1.86048424243927,2.4708666801452637,-1.0,0.6128396987915039,1.0,-0.7530385851860046,0.9985480308532715,0.9995062947273254,-14.511818885803223,1.9362729787826538,21.18229103088379,-2.05739164352417,3.707160234451294,4.235931873321533,588.0,1,10,21.080412,13,6.639817,0.9972373594702659,0.9905668333895888,0.041433254077191936,1.1789473684210527,BP
14,1.0,0.0,0.054780539125204086,BP8_Pre_E4_Post,-559.1546630859375,-0.22609689831733704,392.6436767578125,-141.02679443359375,0.9226316809654236,1.3451846837997437,-1.0,0.5674195289611816,1.0,-0.6045736074447632,0.9435650706291199,0.975001871585846,-14.37398910522461,2.072012424468994,21.08880615234375,-1.9810919761657715,1.8945156335830688,2.2828261852264404,648.0,1,8,28.812243,12,6.6306233,0.9958565235999829,0.9837977983617261,0.07116499669570275,1.305263157894737,BP
15,1.0,0.0,0.054619669914245605,BP8_Pre_E5_Post,-570.5396118164062,-4.342292308807373,399.2649841308594,-144.74842834472656,0.9189789891242981,1.2743407487869263,-1.0,0.493125319480896,1.0,-0.5862824320793152,0.9490486979484558,0.9715240001678467,-14.709522247314453,1.8721253871917725,21.43811798095703,-2.123866558074951,1.887455940246582,2.159909248352051,722.0,1,7,25.776974,11,6.6257863,0.9951300468058253,0.9817848485367545,0.08000620556884827,1.6210526315789475,BP
16,1.0,0.0,0.09172067046165466,BP8_Pre_E6_Post,-581.2957153320312,-7.229337215423584,410.62457275390625,-151.78997802734375,0.511572003364563,0.7353923916816711,-1.0,0.4613379240036011,1.0,-0.5038039684295654,0.7251963019371033,0.8236644268035889,-15.026517868041992,1.7319273948669434,22.037397384643555,-2.3940036296844482,1.1000357866287231,1.224811315536499,842.0,1,5,41.773445,14,6.610403,0.9928196300218824,0.9766211143967062,0.10268697122053863,1.8105263157894735,BP
17,1.0,0.0,0.048897724598646164,BP8_Pre_E7_Post,-558.126953125,-1.155010461807251,391.6236572265625,-141.98544311523438,1.872238278388977,2.4835500717163086,-1.0,0.6273568272590637,1.0,-0.7666612863540649,0.9986853003501892,0.9995275139808655,-14.34369945526123,2.0269033908843994,21.034996032714844,-2.017868995666504,3.7298781871795654,4.257938385009766,552.0,1,13,21.02707,13,6.6415277,0.9974942475085785,0.9904891032593612,0.041775413561083496,1.1157894736842104,BP
18,1.0,0.0,0.04881748557090759,BP8_Pre_E8_Post,-541.45703125,3.6942596435546875,378.3684997558594,-133.0901641845703,2.147618293762207,2.7868471145629883,-1.0,0.7379114627838135,1.0,-0.7722690105438232,0.9995387196540833,0.9998209476470947,-13.852413177490234,2.2623891830444336,20.33571434020996,-1.676616907119751,4.262121200561523,4.784170627593994,436.0,1,100,13.787224,10,6.6490307,0.9986211316130806,0.9944266337389062,0.024479768673209407,0.8,BP
19,1.0,0.0,0.048811156302690506,BP8_Pre_E9_Post,-556.4508056640625,1.1646243333816528,388.697509765625,-137.70901489257812,2.1806209087371826,2.816962242126465,-1.0,0.6969324946403503,1.0,-0.7876601815223694,0.9995924830436707,0.9998579025268555,-14.29430103302002,2.139547109603882,20.88062858581543,-1.853811502456665,4.3259077072143555,4.836422443389893,470.0,1,41,15.501071,12,6.647187,0.9983442625982726,0.9943225231315204,0.024936976488841422,0.8631578947368421,BP
